タイムスタンプ,ユーザーネーム,問題番号,アクション種別,入力初速(m/s),詳細
2026-06-23 06:22:46.077,118,-,SessionStart,,User=118
2026-06-23 06:22:55.499,118,1,Fire,19.6,θ=60° x_target=33.95m
2026-06-23 06:22:55.672,118,1,Fire,19.6,θ=60° x_target=33.95m
2026-06-23 06:22:55.814,118,1,Fire,19.6,θ=60° x_target=33.95m
2026-06-23 06:22:57.827,118,1,Miss,19.6,x_err=14.348m  x=19.60m
2026-06-23 06:23:18.922,118,2,Calculate,98/1.4142,result=69.29712911893651
2026-06-23 06:23:20.565,118,2,SetV0FromCalc,69.2971,expr=98/1.4142
2026-06-23 06:23:21.554,118,2,Fire,69.2971,θ=45° x_target=98.00m
2026-06-23 06:23:25.563,118,2,Miss,69.2971,x_err=98.002m  x=196.00m
2026-06-23 06:23:43.058,118,2,Hint,69.2971,
2026-06-23 06:24:14.523,118,2,Calculate,69.2971/2,result=34.64855
2026-06-23 06:24:15.708,118,2,SetV0FromCalc,34.6486,expr=69.2971/2
2026-06-23 06:24:17.202,118,2,Fire,34.6486,θ=45° x_target=98.00m
2026-06-23 06:24:21.217,118,2,Hit,34.6486,x_err=0.001m
2026-06-23 06:25:25.178,118,3,Fire,9.8,θ=60° x_target=25.46m
2026-06-23 06:25:26.988,118,3,Miss,9.8,t=1.80s y=-0.60m
2026-06-23 06:25:28.341,118,3,Hint,9.8,
2026-06-23 06:25:53.198,118,3,Calculate,25.46/1.5,result=16.973333333333333
2026-06-23 06:25:54.127,118,3,SetV0FromCalc,16.9733,expr=25.46/1.5
2026-06-23 06:25:55.911,118,3,Fire,16.9733,θ=60° x_target=25.46m
2026-06-23 06:25:58.924,118,3,Hit,16.9733,x_err=0.001m
